Validation_Set,Topics,Perplexity
75% Corpus,4,-8.034157891409619
75% Corpus,5,-8.022303277103793
75% Corpus,6,-8.03939101510398
75% Corpus,7,-8.033558951399664
75% Corpus,8,-8.06845181897737
75% Corpus,9,-8.09004465978984
75% Corpus,10,-8.117204319692048
75% Corpus,11,-8.130588469192674
75% Corpus,12,-8.143907831842668
75% Corpus,13,-8.162552822536552
75% Corpus,14,-8.176752683245095
100% Corpus,4,-8.03769773349025
100% Corpus,5,-8.037842717550797
100% Corpus,6,-8.04378076369806
100% Corpus,7,-8.045316852112865
100% Corpus,8,-8.079851518495632
100% Corpus,9,-8.1019920415438
100% Corpus,10,-8.120564657312205
100% Corpus,11,-8.133311049254983
100% Corpus,12,-8.148733965186041
100% Corpus,13,-8.151335885253395
100% Corpus,14,-8.162398197522473
