Perplexity,Topics
0.00023958570301028188,10
0.00023593326103188466,12
0.00022865903208428497,14
0.00023036663376151,16
0.0002206221866494493,18
0.00021352074905484062,20
0.0002091591863341159,22
0.000205936895072018,24
0.00020083062794079578,26
0.0001945988976294137,28
0.000189375044713115,30
0.00018744658260981921,32
0.00018158776295180385,34
0.00017759269352010714,36
0.00017310744578413037,38
0.00017024143070468309,40
0.0001658302125778963,42
0.0001620051045355774,44
0.00015876276413436818,46
0.00015436471213190945,48
0.00015312406971767592,50
0.0001517274833215962,52
0.00014538909373486118,54
0.0001429447122308087,56
0.00011585147911822572,58
0.00013791019400340786,60
